TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 8,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48
enterprise_level_copilot_metrics,enterprise_id,enterprise,created_at,usage_date,code_acceptance_activity_count,code_generation_activity_count,daily_active_users,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,monthly_active_agent_users,monthly_active_chat_users,monthly_active_users,totals_by_feature,totals_by_ide,totals_by_language_feature,totals_by_language_model,totals_by_model_feature,user_initiated_interaction_count,weekly_active_users,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_user_feature_level_copilot_metrics,usage_date,enterprise_id,enterprise,user_id,user_login,assignee_login,feature,user_initiated_interaction_count,accepted_loc_sum,generated_loc_sum,code_acceptance_activity_count,code_generation_activity_count,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_user_feature_level_copilot_metrics,usage_date,enterprise_id,enterprise,user_id,user_login,assignee_login,feature,user_initiated_interaction_count,accepted_loc_sum,generated_loc_sum,code_acceptance_activity_count,code_generation_activity_count,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_user_ide_level_copilot_metrics,usage_date,enterprise_id,enterprise,user_id,user_login,assignee_login,ide,user_initiated_interaction_count,accepted_loc_sum,generated_loc_sum,code_acceptance_activity_count,code_generation_activity_count,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,last_known_plugin_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_user_language_model_level_copilot_metrics,usage_date,enterprise_id,enterprise,user_id,user_login,assignee_login,language,model,accepted_loc_sum,generated_loc_sum,code_acceptance_activity_count,code_generation_activity_count,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_user_level_copilot_metrics,usage_date,enterprise_id,enterprise,user_id,user_login,assignee_login,user_initiated_interaction_count,code_generation_activity_count,code_acceptance_activity_count,used_agent,used_chat,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,loc_deleted_sum,loc_added_sum,totals_by_ide,totals_by_feature,totals_by_language_feature,totals_by_language_model,totals_by_model_feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_developer_usage_org_level,copilot_usage_date,org_name,param_name,parameter,total_lines_accepted,total_lines_suggested,total_agent_lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_developer_usage_org_level_new,copilot_usage_date,org_name,param_name,parameter,total_lines_accepted,total_lines_suggested,total_agent_lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_developer_usage_teams_level,copilot_usage_date,org_name,team_name,team_slug_name,param_name,parameter,total_lines_accepted,total_lines_suggested,total_agent_lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_developer_usage_teams_level_new,copilot_usage_date,org_name,team_name,team_slug_name,param_name,parameter,total_lines_accepted,total_lines_suggested,total_agent_lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_metrics_dotcom_org_level,copilot_usage_date,org_name,total_active_users,total_engaged_users,model_name,custom_model_flag,dotcom_chat_engaged_users,dotcom_chat_chats,dotcom_chat_model_engaged_users,dotcom_pr_engaged_users,dotcom_pr_repository_name,dotcom_pr_model_engaged_users,dotcom_pr_summaries_created,record_insert_datetime,record_inserted_bys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_metrics_dotcom_teams_level,copilot_usage_date,org_name,team_name,team_slug_name,total_active_users,total_engaged_users,model_name,custom_model_flag,dotcom_chat_engaged_users,dotcom_chat_chats,dotcom_chat_model_engaged_users,dotcom_pr_engaged_users,dotcom_pr_repository_name,dotcom_pr_model_engaged_users,dotcom_pr_summaries_created,record_insert_datetime,record_inserted_by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_metrics_ide_org_level,copilot_usage_date,org_name,total_active_users,total_engaged_users,ide_chat_engaged_users,ide_chat_model_name,ide_chat_custom_model_flag,ide_chat_editor_name,ide_chat_editor_chats,ide_chat_editor_engaged_users,ide_chat_editor_chat_copy_events,ide_chat_editor_chat_insertion_events,ide_code_completion_engaged_users,ide_code_completion_model_name,ide_code_completion_editor_name,ide_code_completion_editor_language,ide_code_completion_laguage_engaged_users,ide_code_completion_code_suggestions,ide_code_completion_code_acceptances,ide_code_completion_code_lines_suggested,ide_code_completion_code_lines_accepted,total_suggestions_count,total_acceptances_count,total_lines_suggested,total_lines_accepted,total_active_users_usage,total_chat_acceptances,total_chat_turns,total_active_chat_users,rest_api_name,record_insert_datetime,record_inserted_by,,,,,,,,,,,,,,,,
github_copilot_metrics_ide_org_level_new,total_agent_lines,StreetAddress,City,StateProvince,PostalCode,Country,TimeZone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
github_copilot_metrics_ide_team_level,copilot_usage_date,org_name,team_name,team_slug_name,total_active_users,total_engaged_users,ide_chat_engaged_users,ide_chat_model_name,ide_chat_custom_model_flag,ide_chat_editor_name,ide_chat_editor_chats,ide_chat_editor_engaged_users,ide_chat_editor_chat_copy_events,ide_chat_editor_chat_insertion_events,ide_code_completion_engaged_users,ide_code_completion_model_name,ide_code_completion_editor_name,ide_code_completion_editor_language,ide_code_completion_laguage_engaged_users,ide_code_completion_code_suggestions,ide_code_completion_code_acceptances,ide_code_completion_code_lines_suggested,ide_code_completion_code_lines_accepted,total_suggestions_count,total_acceptances_count,total_lines_suggested,total_lines_accepted,total_active_users_usage,total_chat_acceptances,total_chat_turns,total_active_chat_users,rest_api_name,record_insert_datetime,record_inserted_by,,,,,,,,,,,,,,
github_copilot_metrics_ide_teams_level_new,copilot_usage_date,org_name,team_name,team_slug_name,workday_team_flag,team_type,total_active_users,total_engaged_users,ide_chat_engaged_users,ide_chat_model_name,ide_chat_custom_model_flag,ide_chat_editor_name,ide_chat_editor_chats,ide_chat_editor_engaged_users,ide_chat_editor_chat_copy_events,ide_chat_editor_chat_insertion_events,ide_code_completion_engaged_users,ide_code_completion_model_name,ide_code_completion_editor_name,ide_code_completion_editor_language,ide_code_completion_laguage_engaged_users,ide_code_completion_code_suggestions,ide_code_completion_code_acceptances,ide_code_completion_code_lines_suggested_to_add,ide_code_completion_code_lines_suggested_to_delete,ide_code_completion_code_lines_suggested,ide_code_completion_code_lines_accepted_to_add,ide_code_completion_code_lines_accepted_to_delete,ide_code_completion_code_lines_accepted,agent_lines_accepted_to_add,agent_lines_accepted_to_delete,agent_engaged_users,total_suggestions_count,total_acceptances_count,total_interactions_count,total_lines_suggested_to_add,total_lines_suggested_to_delete,total_lines_suggested,total_lines_accepted_to_add,total_lines_accepted_to_delete,total_lines_accepted,total_active_users_usage,total_chat_acceptances,total_chat_turns,total_active_chat_users,rest_api_name,record_insert_datetime,record_inserted_by
github_copilot_usage_report,sbg,login,status,team,last_usage_date,last_editor_used,downloaded_timestamp,report_downloaded_date,last_usage_month,active_last_30_days,email,uid,sbu,sbu_description,gbe,gbe_description,sbx,sbx_description,vendor,location,allocated_date,removed_access_by_it,license_allocated_before_cut_off_date,exclude_from_count,github_last_commit_date,job_title,,,,,,,,,,,,,,,,,,,,,,
org_level_copilot_metrics,organization_id,org_name,created_at,usage_date,code_acceptance_activity_count,code_generation_activity_count,daily_active_users,loc_added_sum,loc_deleted_sum,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,monthly_active_agent_users,monthly_active_chat_users,monthly_active_users,totals_by_feature,totals_by_ide,totals_by_language_feature,totals_by_language_model,totals_by_model_feature,user_initiated_interaction_count,weekly_active_users,record_inserted_by,source_record_insert_datetime,,,,,,,,,,,,,,,,,,,,,,,,,
org_user_level_copilot_metrics,usage_date,organization_id,org_name,user_id,user_login,assignee_login,user_initiated_interaction_count,code_generation_activity_count,code_acceptance_activity_count,used_agent,used_chat,loc_suggested_to_add_sum,loc_suggested_to_delete_sum,loc_deleted_sum,loc_added_sum,totals_by_ide,totals_by_feature,totals_by_language_feature,totals_by_language_model,totals_by_model_feature,record_inserted_by,source_record_insert_datetime,,,,,,,,,,,,,,,,,,,,,,,,,,